Bangladesh medical journal	Bangladesh Med J	Bangladesh. Med. J.
Current opinion in molecular therapeutics	Curr Opin Mol Ther	Curr. Opin. Mol. Ther.
Journal of guidance, control, and dynamics : a publication of the American Institute of Aeronautics and Astronautics devoted to the technology of dynamics and control	J Guid Control Dyn	J. Guid. Control. Dyn.
Tanzanian economic review	Tanzan Econ Rev	Tanzan. Econ. Rev.
Interdisciplinary topics in gerontology	Interdiscip Top Gerontol	Interdiscip. Top. Gerontol.
Zeitschrift fur experimentelle Chirurgie	Z Exp Chir	Z. Exp. Chir.
Conference record. Asilomar Conference on Signals, Systems & Computers	Conf Rec Asilomar Conf Signals Syst Comput	Conf. Rec. Asilomar. Conf. Signals. Syst. Comput.
The Journal of the Michigan Dental Association	J Mich Dent Assoc	J. Mich. Dent. Assoc.
Medicina psicosomatica	Med Psicosom	Med. Psicosom.
L' Infirmiere	Infirmiere	Infirmiere.
Scripta geologica	Scr Geol	Scr. Geol.
Supplement ... to the journal Medical oncology and tumor pharmacotherapy	Suppl J Med Oncol Tumor Pharmacother	Suppl. J. Med. Oncol. Tumor. Pharmacother.
Cancer genetics and cytogenetics	Cancer Genet Cytogenet	Cancer. Genet. Cytogenet.
Acta endocrinologica Iberica	Acta Endocrinol Iber	Acta. Endocrinol. Iber.
Journal of mental deficiency research	J Ment Defic Res	J. Ment. Defic. Res.
Europe, outremer	Eur Om	Eur. Om.
The Family psychologist : bulletin of the Division of Family Psychology (43)	Fam Psychol	Fam. Psychol.
Bulletin. Charlotte, N. C. Charlotte Memorial Hospital	Bull Charlotte Meml Hosp	Bull. Charlotte. Meml. Hosp.
American journal of clinical oncology	Am J Clin Oncol	Am. J. Clin. Oncol.
Ciclos en la historia, la economia y la sociedad	Ciclos Hist Econom Soc	Ciclos. Hist. Econom. Soc.
Abdominal surgery	Abdom Surg	Abdom. Surg.
Revista de medicina militar	Rev Med Mil	Rev. Med. Mil.
Substance abuse : research and treatment	Subst Abuse	Subst. Abuse.
Clinical and vaccine immunology : CVI	Clin Vaccine Immunol	Clin. Vaccine. Immunol.
Channels (Austin, Tex.)	Channels (Austin)	Channels. (Austin).
Aeromedical reviews	Aeromed Rev	Aeromed. Rev.
Bruns' Beitrage fur klinische Chirurgie	Bruns Beitr Klin Chir (1971)	Bruns. Beitr. Klin. Chir. (1971).
Soins. Formation, pedagogie, encadrement : avec la participation du CEEIEC	Soins Form Pedagog Encadr	Soins. Form. Pedagog. Encadr.
Scripta ethnologica (Centro Argentino de Etnologia Americana)	Scr Ethnol	Scr. Ethnol.
Ji sheng chong xue yu ji sheng chong bing za zhi = Journal of parasitology & parasitic diseases	Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi	Ji. Sheng. Chong. Xue. Yu. Ji. Sheng. Chong. Bing. Za. Zhi.
Journal of reproductive immunology	J Reprod Immunol	J. Reprod. Immunol.
Military law review	Mil Law Rev	Mil. Law. Rev.
Caspian journal of internal medicine	Caspian J Intern Med	Caspian. J. Intern. Med.
Annals of translational medicine	Ann Transl Med	Ann. Transl. Med.
Journal of nutritional science	J Nutr Sci	J. Nutr. Sci.
Journalism studies	Journal Stud	Journal. Stud.
Detroit dental bulletin	Detroit Dent Bull	Detroit. Dent. Bull.
Christianity and crisis	Christ Crisis	Christ. Crisis.
Health care cost reengineering report	Health Care Cost Reengineering Rep	Health. Care. Cost. Reengineering. Rep.
ICS ... : proceedings of the ... ACM International Conference on Supercomputing. International Conference on Supercomputing	ICS	ICS.
The Critical quarterly	Crit Q	Crit. Q.
Geographicalia	Geographicalia	Geographicalia.
Ultrasound international open	Ultrasound Int Open	Ultrasound. Int. Open.
Physician's world	Physicians World	Physicians. World.
ICEA news	Icea News	Icea. News.
Fertility determinants research notes	Fertil Determ Res Notes	Fertil. Determ. Res. Notes.
Journal of maternal-fetal investigation : the official journal of French Society of Ultrasound in Medicine and Biology ... [et al.]	J Matern Fetal Investig	J. Matern. Fetal. Investig.
Policy statement. Royal College of General Practitioners	Policy Statement R Coll Gen Pract	Policy. Statement. R. Coll. Gen. Pract.
ISRN nutrition	ISRN Nutr	ISRN. Nutr.
Journal of neuroinflammation	J Neuroinflammation	J. Neuroinflammation.
Acta medica hidalguense	Acta Med Hidalguense	Acta. Med. Hidalguense.
Diabetes	Diabetes	Diabetes.
Changgeng yi xue za zhi	Changgeng Yi Xue Za Zhi	Changgeng. Yi. Xue. Za. Zhi.
AWHONN's clinical issues in perinatal and women's health nursing	AWHONNS Clin Issues Perinat Womens Health Nurs	AWHONNS. Clin. Issues. Perinat. Womens. Health. Nurs.
Christian bioethics	Christ Bioeth	Christ. Bioeth.
British journal of clinical practice. Supplement	Br J Clin Pract Suppl	Br. J. Clin. Pract. Suppl.
Vie medicale (Paris, France : 1920)	Vie Med	Vie. Med.
New West	New West	New. West.
Separation science and technology	Sep Sci Technol	Sep. Sci. Technol.
Newsletter. American Epilepsy League	Newsl Am Epilepsy Leag	Newsl. Am. Epilepsy. Leag.
Medical Section proceedings : the ... annual Meeting of the Medical Section of the American Council of Life Insurance. American Council of Life Insurance. Medical Section. Meeting	Med Sect Proc	Med. Sect. Proc.
IEEE life sciences letters	IEEE Life Sci Lett	IEEE. Life. Sci. Lett.
Print quarterly	Print Q	Print. Q.
The international journal on school disaffection	Int J School Disaffect	Int. J. School. Disaffect.
International journal of geographical information science : IJGIS	Int J Geogr Inf Sci	Int. J. Geogr. Inf. Sci.
Gazette medicale limousine	Gaz Med Limousine (1908)	Gaz. Med. Limousine. (1908).
Bulletin des etudes Valeryennes	Bull Etud Valeryennes	Bull. Etud. Valeryennes.
Mitteilungen der osterreichischen Sanitatsverwaltung	Mitt Osterr Sanitatsverwalt	Mitt. Osterr. Sanitatsverwalt.
Zeitschrift fur angewandte Ichthyologie = Journal of applied ichthyology	J Appl Ichthyol	J. Appl. Ichthyol.
Zdravookhranenie Belorussii	Zdravookhr Beloruss	Zdravookhr. Beloruss.
The American journal of social psychiatry	Am J Soc Psychiatry	Am. J. Soc. Psychiatry.
Pathologie-biologie	Pathol Biol (Paris)	Pathol. Biol. (Paris).
Estomatologia e cultura	Estomatol Cult	Estomatol. Cult.
Proceedings of the ... USENIX Security Symposium. UNIX Security Symposium	Proc USENIX Secur Symp	Proc. USENIX. Secur. Symp.
West's north eastern reporter	Wests North East Rep	Wests. North. East. Rep.
The Journal of libertarian studies	J Libert Stud	J. Libert. Stud.
The OALMA journal	Oalma J	Oalma. J.
Aging clinical and experimental research	Aging Clin Exp Res	Aging. Clin. Exp. Res.
Early childhood education journal	Early Child Educ J	Early. Child. Educ. J.
AIDS-Forschung : AIFO = Acquired immune deficiency syndrome research	AIDS Forsch	AIDS. Forsch.
Review of social economy	Rev Soc Econ	Rev. Soc. Econ.
Revue belge de stomatologie. Belgisch tijdschrift voor stomatologie	Rev Belge Stomatol	Rev. Belge. Stomatol.
DLR-Nachrichten : Mitteilungsblatt der Deutschen Forschungsanstalt fur Luft- und Raumfahrt	DLR Nachr	DLR. Nachr.
Boletim da Sociedade de Geografia de Lisboa	Bol Soc Geogr Lisb	Bol. Soc. Geogr. Lisb.
Chronic respiratory disease	Chron Respir Dis	Chron. Respir. Dis.
Archives of drug information	Arch Drug Inf	Arch. Drug. Inf.
Journal of radiology case reports	J Radiol Case Rep	J. Radiol. Case. Rep.
Current bioinformatics	Curr Bioinform	Curr. Bioinform.
Roentgen-Europ; radiodiagnostic clinique europeen	Rontgeneur Radiodiagn Clin Eur	Rontgeneur. Radiodiagn. Clin. Eur.
Human ecology	Hum Ecol	Hum. Ecol.
The international journal of occupational and environmental medicine	Int J Occup Environ Med	Int. J. Occup. Environ. Med.
Acta reproductiva Turcica	Acta Reprod Turc	Acta. Reprod. Turc.
Cellular and molecular biology (Noisy-le-Grand, France)	Cell Mol Biol (Noisy-le-grand)	Cell. Mol. Biol. (Noisy-le-grand).
Phi Kappa Phi journal	Phi Kappa Phi J	Phi. Kappa. Phi. J.
Colorado revised statutes, 1973. Colorado	Colo Revis Statut 1973 Colo	Colo. Revis. Statut. 1973. Colo.
GMS Interdisciplinary plastic and reconstructive surgery DGPW	GMS Interdiscip Plast Reconstr Surg DGPW	GMS. Interdiscip. Plast. Reconstr. Surg. DGPW.
National Negro health news	Natl Negro Health News	Natl. Negro. Health. News.
African affairs	Afr Aff (Lond)	Afr. Aff. (Lond).
Interventional neuroradiology : journal of peritherapeutic neuroradiology, surgical procedures and related neurosciences	Interv Neuroradiol	Interv. Neuroradiol.
BMC neurology	BMC Neurol	BMC. Neurol.
JONA'S healthcare law, ethics and regulation	JONAS Healthc Law Ethics Regul	JONAS. Healthc. Law. Ethics. Regul.
The Academic nurse : the journal of the Columbia University School of Nursing	Acad Nurse	Acad. Nurse.
Conferences d'histoire de la medecine : [fascicule]. Conferences d'histoire de la medecine	Conf Hist Med	Conf. Hist. Med.
Energy, sustainability and society	Energy Sustain Soc	Energy. Sustain. Soc.
Cell biology reviews : CBR	Cell Biol Rev	Cell. Biol. Rev.
The open circulation & vascular journal	Open Circ Vasc J	Open. Circ. Vasc. J.
Journal of organizational and end user computing : an official publication of the Information Resources Management Association	J Organ End User Comput	J. Organ. End. User. Comput.
Zeitschrift fur den Erdkundeunterricht	Z Erdkundeunterr	Z. Erdkundeunterr.
BioControl (Dordrecht, Netherlands)		.
Herpes : the journal of the IHMF	Herpes	Herpes.
MHQ : the quarterly journal of military history	MHQ (NY NY)	MHQ. (NY. NY).
Gastrointestinal endoscopy	Gastrointest Endosc	Gastrointest. Endosc.
Oriens extremus	Oriens Extremus	Oriens. Extremus.
Canadian journal of rural medicine : the official journal of the Society of Rural Physicians of Canada = Journal canadien de la medecine rurale : le journal officiel de la Societe de medecine rurale du Canada	Can J Rural Med	Can. J. Rural. Med.
Revista Kuba de medicina tropical y parasitologia	Rev Kuba Med Trop Parasitol	Rev. Kuba. Med. Trop. Parasitol.
L' Infirmiere haitienne	Infirm Haiti	Infirm. Haiti.
Journal of theology for Southern Africa	J Theol South Afr	J. Theol. South. Afr.
Religion, state & society : the Keston journal	Relig State Soc	Relig. State. Soc.
Home care economics	Home Care Econ	Home. Care. Econ.
Proceedings, annual meeting - New Jersey Mosquito Extermination Association	Proc Annu Meet N J Mosqu Exterm Assoc	Proc. Annu. Meet. N. J. Mosqu. Exterm. Assoc.
Proceedings of the British Academy	Proc Br Acad	Proc. Br. Acad.
Journal of physics D: Applied physics	J Phys D Appl Phys	J. Phys. D. Appl. Phys.
Discovering the subtleties of sugars : proceedings of the 3rd Beilstein Glyco-Bioinformatics Symposium : June 10th - 14th, 2013, Potsdam, Germany. International Beilstein Symposium on Glyco-Bioinformatics (3rd : 2013 : Potsdam, Germany)	Discov Subtleties Sugars (2013)	Discov. Subtleties. Sugars. (2013).
The British journal of criminology	Br J Criminol	Br. J. Criminol.
Centerpoint	Centerpoint	Centerpoint.
Population reports. Series C: Sterilization [Female]	Popul Rep C	Popul. Rep. C.
Journal of community psychology	J Community Psychol	J. Community. Psychol.
Natural product letters	Nat Prod Lett	Nat. Prod. Lett.
Parkinsonism & related disorders	Parkinsonism Relat Disord	Parkinsonism. Relat. Disord.
The Quarterly journal of experimental psychology	Q J Exp Psychol	Q. J. Exp. Psychol.
Journal of the American Association of Nurse Practitioners	J Am Assoc Nurse Pract	J. Am. Assoc. Nurse. Pract.
Journal of shellfish research		.
Circulation research	Circ Res	Circ. Res.
East Asian science, technology and society	East Asian Sci Technol Soc	East. Asian. Sci. Technol. Soc.
Medicina et pharmacologia experimentalis. International journal of experimental medicine	Med Pharmacol Exp Int J Exp Med	Med. Pharmacol. Exp. Int. J. Exp. Med.
Nephron	Nephron	Nephron.
The Canadian dental hygienist	Can Dent Hyg	Can. Dent. Hyg.
Anesthesia progress	Anesth Prog	Anesth. Prog.
Italy; documents and notes	Italy Doc Notes	Italy. Doc. Notes.
The Harvard theological review	Harv Theol Rev	Harv. Theol. Rev.
Boletin ... Agrupacion Medica de Estudios, La Paz	Bol Agrup Medica Estud La Paz	Bol. Agrup. Medica. Estud. La. Paz.
BMC medical ethics	BMC Med Ethics	BMC. Med. Ethics.
Central European journal of public health	Cent Eur J Public Health	Cent. Eur. J. Public. Health.
Social network analysis and mining	Soc Netw Anal Min	Soc. Netw. Anal. Min.
Polymers	Polymers (Basel)	Polymers. (Basel).
Parodontopathies	Parodontopathies	Parodontopathies.
Vascular cell	Vasc Cell	Vasc. Cell.
Endocrinologia y nutricion : organo de la Sociedad Espanola de Endocrinologia y Nutricion	Endocrinol Nutr	Endocrinol. Nutr.
Plant systematics and evolution = Entwicklungsgeschichte und Systematik der Pflanzen	Plant Syst Evol	Plant. Syst. Evol.
Official bulletin. American Hospital Association	Off Bull Am Hosp Assoc	Off. Bull. Am. Hosp. Assoc.
Advances in steroid biochemistry and pharmacology	Adv Steroid Biochem Pharmacol	Adv. Steroid. Biochem. Pharmacol.
Kansai Daigaku keizai ronshu	Kansai Daigaku Keizai Ronshu	Kansai. Daigaku. Keizai. Ronshu.
Issue brief (Center for Studying Health System Change)	Issue Brief Cent Stud Health Syst Change	Issue. Brief. Cent. Stud. Health. Syst. Change.
Rare metals	Rare Metals	Rare. Metals.
Indian journal of urology : IJU : journal of the Urological Society of India	Indian J Urol	Indian. J. Urol.
The Journal of the Dental Association of South Africa = Die Tydskrif van die Tandheelkundige Vereniging van Suid-Afrika	J Dent Assoc S Afr	J. Dent. Assoc. S. Afr.
Diabetology international	Diabetol Int	Diabetol. Int.
ISRN molecular biology	ISRN Mol Biol	ISRN. Mol. Biol.
World journal of gastroenterology	World J Gastroenterol	World. J. Gastroenterol.
Clinical laboratory international	Clin Lab Int	Clin. Lab. Int.
EJIFCC	EJIFCC	EJIFCC.
The OECD observer. Organisation for Economic Co-operation and Development	OECD Obs	OECD. Obs.
International journal of research in ayurveda and pharmacy	Int J Res Ayurveda Pharm	Int. J. Res. Ayurveda. Pharm.
Archivio storico siciliano (Palermo, Italy : 1946)	Arch Stor Sicil	Arch. Stor. Sicil.
France Medecine	Fr Med	Fr. Med.
Health estate journal : journal of the Institute of Hospital Engineering	Health Estate J	Health. Estate. J.
Revista de la Asociacion Odontologica Argentina	Rev Asoc Odontol Argent	Rev. Asoc. Odontol. Argent.
Mie medical journal	Mie Med J	Mie. Med. J.
AIDS illustrated	AIDS Illus	AIDS. Illus.
Microbiology spectrum	Microbiol Spectr	Microbiol. Spectr.
Contributions to gynecology and obstetrics	Contrib Gynecol Obstet	Contrib. Gynecol. Obstet.
Vital & health statistics. Series 14, Data from the national inventory of family planning services	Vital Health Stat 14	Vital. Health. Stat. 14.
Austin journal of clinical cardiology	Austin J Clin Cardiol	Austin. J. Clin. Cardiol.
Indian journal of critical care medicine : peer-reviewed, official publication of Indian Society of Critical Care Medicine	Indian J Crit Care Med	Indian. J. Crit. Care. Med.
Nowe drogi	Nowe Drogi	Nowe. Drogi.
Journal of animal science	J Anim Sci	J. Anim. Sci.
Healthcare financial management : journal of the Healthcare Financial Management Association	Healthc Financ Manage	Healthc. Financ. Manage.
Population reports. Series E, Law and policy	Popul Rep E	Popul. Rep. E.
Ethnic forum : bulletin of ethnic studies and ethnic bibliography	Ethn Forum	Ethn. Forum.
Enfance; psychologie, pedagogie, neuropsychiatrie, sociologie	Enfance	Enfance.
Journal of materials chemistry	J Mater Chem	J. Mater. Chem.
Signal transduction	Signal Transduct	Signal. Transduct.
Harvard heart letter : from Harvard Medical School	Harv Heart Lett	Harv. Heart. Lett.
Journal of medical devices	J Med Device	J. Med. Device.
Advances in space research : the official journal of the Committee on Space Research (COSPAR)	Adv Space Res	Adv. Space. Res.
Tidskrift for Sveriges sjukskoterskor	Tidskr Sver Sjukskot	Tidskr. Sver. Sjukskot.
Mother and child	Mother Child	Mother. Child.
German medicine	Ger Med	Ger. Med.
Journal of veterinary medicine. A, Physiology, pathology, clinical medicine	J Vet Med A Physiol Pathol Clin Med	J. Vet. Med. A. Physiol. Pathol. Clin. Med.
Computers & graphics	Comput Graph	Comput. Graph.
Implant dentistry	Implant Dent	Implant. Dent.
Air University review (United States edition)	Air Univ Rev (US ed)	Air. Univ. Rev. (US. ed).
Osterreichische Zahnarzts-Zeitung; Mitteilungen der Bundesfachgruppe fur Zahnheilkunde der Osterreichischen Arztekammer	Osterr Zahnarzteztg	Osterr. Zahnarzteztg.
Journal of clinical trials	J Clin Trials	J. Clin. Trials.
Revue francaise de psychanalyse	Rev Fr Psychanal	Rev. Fr. Psychanal.
Agriculture, ecosystems & environment	Agric Ecosyst Environ	Agric. Ecosyst. Environ.
Heart views : the official journal of the Gulf Heart Association	Heart Views	Heart. Views.
Bulletin de la Societe archeologique, historique, litteraire & scientifique du Gers. Societe archeologique, historique, litteraire et scientifique du Gers	Bull Soc Archeol Hist Litt Sci Gers	Bull. Soc. Archeol. Hist. Litt. Sci. Gers.
Inter-Nord	Inter Nord	Inter. Nord.
Oregon historical quarterly. Oregon Historical Society	Oreg Hist Q	Oreg. Hist. Q.
Prevention in counseling psychology : theory, research, practice and training	Prev Couns Psychol	Prev. Couns. Psychol.
Convulsive therapy	Convuls Ther	Convuls. Ther.
Health communication	Health Commun	Health. Commun.
Deutsche tierarztliche Wochenschrift	Dtsch Tierarztl Wochenschr	Dtsch. Tierarztl. Wochenschr.
International journal of coal science & technology	Int J Coal Sci Technol	Int. J. Coal. Sci. Technol.
Molecular toxicology	Mol Toxicol	Mol. Toxicol.
Receptors & clinical investigation	Receptors Clin Investig	Receptors. Clin. Investig.
Revista latino-americana de enfermagem	Rev Lat Am Enfermagem	Rev. Lat. Am. Enfermagem.
Medical gynaecology and sociology	Med Gynaecol Sociol	Med. Gynaecol. Sociol.
Indian journal of endocrinology and metabolism	Indian J Endocrinol Metab	Indian. J. Endocrinol. Metab.
Jahrbuch des Historischen Vereins fur das Furstentum Liechtenstein. Historischer Verein fur das Furstentum Liechtenstein	Jahrb Hist Ver Furst Liechtenstein	Jahrb. Hist. Ver. Furst. Liechtenstein.
Minerva cardioangiologica	Minerva Cardioangiol	Minerva. Cardioangiol.
Journal of hospital marketing & public relations	J Hosp Mark Public Relations	J. Hosp. Mark. Public. Relations.
SAE international journal of transportation safety	SAE Int J Transp Saf	SAE. Int. J. Transp. Saf.
Journal of materials science letters	J Mater Sci Lett	J. Mater. Sci. Lett.
Journal of new music research	J New Music Res	J. New. Music. Res.
Psychological science in the public interest : a journal of the American Psychological Society	Psychol Sci Public Interest	Psychol. Sci. Public. Interest.
Advances in insect physiology	Adv In Insect Phys	Adv. In. Insect. Phys.
The Clinical journal	Clin J	Clin. J.
Proceedings of the ... Annual Boston University Conference on Language Development. Boston University Conference on Language Development	Proc Annu Boston Univ Conf Lang Dev	Proc. Annu. Boston. Univ. Conf. Lang. Dev.
Pediatrie	Pediatrie	Pediatrie.
Pediatria	Pediatria (Santiago)	Pediatria. (Santiago).
Revista IBYS	Rev Ibys	Rev. Ibys.
Bacteriologia, virusologia, parazitologia, epidemiologia	Bacteriol Virusol Parazitol Epidemiol (Bucur)	Bacteriol. Virusol. Parazitol. Epidemiol. (Bucur).
University of Tasmania law review	Univ Tasman Law Rev	Univ. Tasman. Law. Rev.
Veterinary and comparative oncology	Vet Comp Oncol	Vet. Comp. Oncol.
Arbeiten aus dem Paul-Ehrlich-Institut (Bundesamt fur Sera und Impfstoffe) zu Frankfurt a.M	Arb Paul Ehrlich Inst Bundesamt Sera Impfstoffe Frankf A M	Arb. Paul. Ehrlich. Inst. Bundesamt. Sera. Impfstoffe. Frankf. A. M.
L'Annee endocrinologique	Annee Endocrinol	Annee. Endocrinol.
Narodonaselenie	Narodonaselenie	Narodonaselenie.
Translational stroke research	Transl Stroke Res	Transl. Stroke. Res.
Marine policy	Mar Policy	Mar. Policy.
Asian-Pacific economic literature	Asia Pac Econ Lit	Asia. Pac. Econ. Lit.
Medsurg nursing : official journal of the Academy of Medical-Surgical Nurses	Medsurg Nurs	Medsurg. Nurs.
Wirtschaft und Statistik	Wirtsch Stat	Wirtsch. Stat.
Conferences lyonnaises d'ophtalmologie	Conf Lyon Ophtalmol	Conf. Lyon. Ophtalmol.
The Moccasin	Moccasin	Moccasin.
American journal of bioinformatics and computational biology	Am J Bioinform Comput Biol	Am. J. Bioinform. Comput. Biol.
Symposium series (Society for Applied Microbiology)	Symp Ser Soc Appl Microbiol	Symp. Ser. Soc. Appl. Microbiol.
EuroHaptics ... : proceedings. EuroHaptics	Eurohaptics	Eurohaptics.
Proceedings of the Finnish Dental Society. Suomen Hammaslaakariseuran toimituksia	Proc Finn Dent Soc	Proc. Finn. Dent. Soc.
Journal of the Indian Academy of Dentistry	J Indian Acad Dent	J. Indian. Acad. Dent.
Qualitative report (Online)	Qual Rep	Qual. Rep.
Women's health update	Womens Health Update	Womens. Health. Update.
Revue d'economie du developpement	Rev Econ Dev	Rev. Econ. Dev.
Christian nurse international	Christ Nurse Int	Christ. Nurse. Int.
Brazilian journal of anesthesiology (Elsevier)	Braz J Anesthesiol	Braz. J. Anesthesiol.
Revista de la Facultad de Medicina, Universidad Nacional Autonoma de Mexico	Rev Fac Med Univ Nac Auton Mex	Rev. Fac. Med. Univ. Nac. Auton. Mex.
RMD open	RMD Open	RMD. Open.
Anticancer research	Anticancer Res	Anticancer. Res.
Educational researcher (Washington, D.C. : 1972)	Educ Res	Educ. Res.
Naunyn-Schmiedeberg's archives of pharmacology	Naunyn Schmiedebergs Arch Pharmacol	Naunyn. Schmiedebergs. Arch. Pharmacol.
Katunob	Katunob	Katunob.
U. S. pharmacist	US Pharm	US. Pharm.
Journal of prenatal medicine	J Prenat Med	J. Prenat. Med.
AWHONN voice	AWHONN Voice	AWHONN. Voice.
Ecology	Ecology	Ecology.
International gambling studies	Int Gambl Stud	Int. Gambl. Stud.
Nature reviews. Clinical oncology	Nat Rev Clin Oncol	Nat. Rev. Clin. Oncol.
Developmental medicine and child neurology	Dev Med Child Neurol	Dev. Med. Child. Neurol.
Remote sensing letters (Print)	Remote Sens Lett	Remote. Sens. Lett.
The Journal of organic chemistry	J Org Chem	J. Org. Chem.
[Ke xue tong bao] [Science bulletin]	Ko Hsueh Tung Pao	Ko. Hsueh. Tung. Pao.
Rig	Rig	Rig.
Arizona medicine	Ariz Med	Ariz. Med.
Evidence-based complementary and alternative medicine : eCAM	Evid Based Complement Alternat Med	Evid. Based. Complement. Alternat. Med.
Nephron extra	Nephron Extra	Nephron. Extra.
Review of philosophy and psychology	Rev Philos Psychol	Rev. Philos. Psychol.
Zeitschrift fur romanische Philologie	Z Rom Philol	Z. Rom. Philol.
HealthSpan	Healthspan	Healthspan.
Journal of renal nutrition : the official journal of the Council on Renal Nutrition of the National Kidney Foundation	J Ren Nutr	J. Ren. Nutr.
IEEE security & privacy	IEEE Secur Priv	IEEE. Secur. Priv.
BMJ clinical evidence	BMJ Clin Evid	BMJ. Clin. Evid.
International journal of adolescence and youth	Int J Adolesc Youth	Int. J. Adolesc. Youth.
Integrative psychiatry : IP	Integr Psychiatry	Integr. Psychiatry.
MSMR	MSMR	MSMR.
Rasy i narody	Rasy Nar Sovrem Etn Ras Probl	Rasy. Nar. Sovrem. Etn. Ras. Probl.
Journal of the history of biology	J Hist Biol	J. Hist. Biol.
Trace elements in medicine	Trace Elem Med	Trace. Elem. Med.
Journal of systematic palaeontology	J Syst Palaeontol	J. Syst. Palaeontol.
Zbornik Matice srpske za istoriju	Zb Matice Srp Istor	Zb. Matice. Srp. Istor.
The Round table	Round Table	Round. Table.
WASA ... : International Conference on Wireless Algorithms, Systems, and Applications : proceedings. WASA	WASA	WASA.
Hepatology research : the official journal of the Japan Society of Hepatology	Hepatol Res	Hepatol. Res.
Memoires. Academie de chirurgie (France)	Mem Acad Chir (Paris)	Mem. Acad. Chir. (Paris).
Journal of wine research	J Wine Res	J. Wine. Res.
West's revised code of Washington annotated. Washington (State)	Wests Revis Code Wash Annot Wash State	Wests. Revis. Code. Wash. Annot. Wash. State.
Microfluidics and nanofluidics	Microfluid Nanofluidics	Microfluid. Nanofluidics.
International journal of chronobiology	Int J Chronobiol	Int. J. Chronobiol.
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer	J Thorac Oncol	J. Thorac. Oncol.
Wissenschaftliche Zeitschrift der Wilhelm-Pieck-Universitat Rostock. Gesellschafts- und sprachwissenschaftliche Reihe	Wiss Z Wilhelm Pieck Univ Rostock Ges Sprachwiss	Wiss. Z. Wilhelm. Pieck. Univ. Rostock. Ges. Sprachwiss.
Clinics and practice	Clin Pract	Clin. Pract.
Anales. Sociedad Mexicana de Oftalmologia y Oto-rino-laringologia	An Soc Mex Oftalmol Otorinolaringol	An. Soc. Mex. Oftalmol. Otorinolaringol.
HNO	HNO	HNO.
BIRPERHT publication	BIRPERHT Publ	BIRPERHT. Publ.
History of geo- and space sciences	Hist Geo Space Sci	Hist. Geo. Space. Sci.
Smart structures and systems	Smart Struct Syst	Smart. Struct. Syst.
Frontiers in ecology and the environment	Front Ecol Environ	Front. Ecol. Environ.
